filename,min_dist,I_sc
TER_0479.pdb,15.8187,-7.2940
TER_0480.pdb,14.2585,-9.6880
TER_0481.pdb,21.6638,-10.3460
TER_0482.pdb,16.2203,-19.4220
TER_0483.pdb,13.9989,-11.2430
TER_0484.pdb,22.4320,-10.3430
TER_0485.pdb,37.4522,0.0000
TER_0486.pdb,26.2176,-0.3570
TER_0487.pdb,13.1778,-11.0690
TER_0488.pdb,13.9031,-14.1920
TER_0489.pdb,11.1212,-6.9370
TER_0490.pdb,20.1882,-8.3820
TER_0491.pdb,13.6631,-1.5760
TER_0492.pdb,20.2723,-14.0080
TER_0493.pdb,15.9678,-12.2560
TER_0494.pdb,15.2615,-12.5390
TER_0495.pdb,21.5886,-5.2310
TER_0496.pdb,16.9774,-7.8470
TER_0497.pdb,11.5452,-14.1980
TER_0498.pdb,11.6923,-10.7010
TER_0499.pdb,14.9041,-10.1800
TER_0500.pdb,13.8933,-14.8020
TER_0501.pdb,24.4834,-5.0340
TER_0502.pdb,14.3030,-13.3570
TER_0503.pdb,15.5615,-8.8380
TER_0504.pdb,17.4337,-14.3410
TER_0505.pdb,12.3105,-8.9900
TER_0506.pdb,52.3734,0.0000
TER_0507.pdb,20.0881,-9.5130
TER_0508.pdb,17.8570,-12.0100
TER_0509.pdb,11.9934,-11.0360
TER_0510.pdb,11.0809,-12.3760
TER_0511.pdb,22.8738,-0.2780
TER_0512.pdb,20.6301,-7.8310
TER_0513.pdb,12.0730,-7.1830
TER_0514.pdb,22.1941,-9.2130
TER_0515.pdb,14.6056,-19.3080
TER_0516.pdb,18.8108,-10.5190
TER_0517.pdb,28.8481,0.0000
TER_0518.pdb,23.7183,-9.7150
TER_0519.pdb,14.7598,-19.7350
TER_0520.pdb,28.1140,-18.7570
TER_0521.pdb,19.2740,-16.5830
TER_0522.pdb,21.2678,-2.2840
TER_0523.pdb,14.8242,-16.1170
TER_0524.pdb,14.2112,-10.3350
TER_0525.pdb,20.7154,-9.8540
TER_0526.pdb,17.1060,-16.1710
TER_0527.pdb,23.5183,-6.9930
TER_0528.pdb,22.5020,-8.6860
TER_0529.pdb,11.4132,-10.0330
TER_0530.pdb,19.1607,-4.6350
TER_0531.pdb,12.1355,-9.6550
TER_0532.pdb,19.7899,-16.4950
TER_0533.pdb,21.2444,-18.0210
TER_0534.pdb,20.9159,-13.9910
TER_0535.pdb,15.8808,-16.6490
TER_0536.pdb,14.6034,-15.7370
TER_0537.pdb,13.4566,-12.2510
TER_0538.pdb,12.3146,-9.7090
TER_0539.pdb,18.0587,-12.9630
TER_0540.pdb,17.9149,-13.3020
TER_0541.pdb,17.5334,-3.9080
TER_0542.pdb,14.4208,-13.8430
TER_0543.pdb,14.5627,-18.5900
TER_0544.pdb,19.3870,-12.8600
TER_0545.pdb,17.3869,-12.6560
TER_0546.pdb,14.3327,-5.6210
TER_0547.pdb,25.6737,-8.6490
TER_0548.pdb,35.5900,-7.6590
TER_0549.pdb,11.7417,-13.7810
TER_0550.pdb,28.2517,-16.8520
TER_0551.pdb,13.5945,-14.3820
TER_0552.pdb,25.3814,-20.7440
TER_0553.pdb,44.0642,-0.2800
TER_0554.pdb,11.5574,-17.0590
TER_0555.pdb,11.6510,-14.6640
TER_0556.pdb,18.5602,-8.6550
TER_0557.pdb,23.8921,-5.0070
TER_0558.pdb,20.6079,-15.0560
TER_0559.pdb,11.4355,-7.1880
TER_0560.pdb,14.7268,-14.5510
TER_0561.pdb,18.5517,-1.9380
TER_0562.pdb,16.7105,-10.0660
TER_0563.pdb,19.3072,-14.2150
TER_0564.pdb,20.8913,-9.4800
TER_0565.pdb,12.4605,-10.4130
TER_0566.pdb,13.4727,-12.6580
TER_0567.pdb,13.1930,-8.9720
TER_0568.pdb,24.3627,-11.8090
TER_0569.pdb,14.9820,-17.1260
TER_0570.pdb,26.7150,-5.8260
TER_0571.pdb,13.6492,-12.8200
TER_0572.pdb,14.3682,-13.5020
TER_0573.pdb,27.1760,-6.0360
TER_0574.pdb,24.3651,-12.2910
TER_0575.pdb,22.8568,-12.0450
TER_0576.pdb,14.0400,-12.8460
TER_0577.pdb,44.2398,0.0000
TER_0578.pdb,20.9804,-12.4630
TER_0579.pdb,14.9138,-11.8920
TER_0580.pdb,13.1715,-11.5670
TER_0581.pdb,15.4110,-15.6420
TER_0582.pdb,16.6743,-21.5480
TER_0583.pdb,15.1791,-13.2830
TER_0584.pdb,23.3383,-3.9320
TER_0585.pdb,16.3387,-17.5000
TER_0586.pdb,19.0090,-6.4040
TER_0587.pdb,16.3116,-10.5570
TER_0588.pdb,16.3758,-14.8950
TER_0589.pdb,32.1761,-8.4500
TER_0590.pdb,11.2531,-11.5280
TER_0591.pdb,16.6809,-13.9770
TER_0592.pdb,14.8297,-11.4650
TER_0593.pdb,16.8929,-10.8620
TER_0594.pdb,24.6474,-8.1720
TER_0595.pdb,23.7254,-7.8400
TER_0596.pdb,11.2625,-17.2050
TER_0597.pdb,17.7819,-9.5660
TER_0598.pdb,13.3846,-11.5140
TER_0599.pdb,16.3089,-13.1150
TER_0600.pdb,13.0143,-16.1450
TER_0601.pdb,11.5820,-16.8330
TER_0602.pdb,19.9305,-7.3920
TER_0603.pdb,17.7585,-14.0310
TER_0604.pdb,19.0445,-8.3160
TER_0605.pdb,18.8634,-15.0740
TER_0606.pdb,20.9703,-14.0210
TER_0607.pdb,20.8361,-8.9320
TER_0608.pdb,18.8563,-9.2070
TER_0609.pdb,11.8252,-17.0040
TER_0610.pdb,14.2620,-15.7920
TER_0611.pdb,24.4681,-8.3740
TER_0612.pdb,11.9752,-17.3750
TER_0613.pdb,11.3989,-11.9050
TER_0614.pdb,12.0861,-12.2810
TER_0615.pdb,23.1046,-9.5180
TER_0616.pdb,18.1651,-12.0030
TER_0617.pdb,16.5794,-12.1350
TER_0618.pdb,22.2767,-11.5550
TER_0619.pdb,19.1239,-7.9080
TER_0620.pdb,14.7684,-20.9080
TER_0621.pdb,23.0836,-6.7920
TER_0622.pdb,17.1756,0.0000
TER_0623.pdb,27.0725,-17.2840
